id,body_region,quality,severity,days_since_onset,context_notes,exercise_title,exercise_steps,education_prompt,risk_neuro,risk_recent_trauma,source,created_at
00001,lower_back,stiffness,2,28,"worse after screens, eases with rest. Region: lower back, quality: stiffness.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380725Z
00002,mid_back,tingling,2,3,"follows long car rides, stays in one spot. Region: mid back, quality: tingling.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380765Z
00003,upper_back,stabbing,4,2,"follows long car rides, lingers most of the day. Region: upper back, quality: stabbing.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380781Z
00004,neck,stabbing,2,42,"flares after poor sleep, stays in one spot. Region: neck, quality: stabbing.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380795Z
00005,shoulder,shooting,6,21,"after repetitive tasks, spikes then fades. Region: shoulder, quality: shooting.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Movement within a comfortable range reassures the brain and builds confidence.,False,True,synthetic_prt_v2,2025-09-11T20:43:27.380811Z
00006,head,throbbing,10,22,"worse after screens, feels tight then releases. Region: head, quality: throbbing.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380829Z
00007,jaw,burning,9,11,"better after a walk, radiates a little. Region: jaw, quality: burning.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380841Z
00008,chest,sharp,9,20,"worse after sitting long, eases with rest. Region: chest, quality: sharp.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380859Z
00009,abdomen,sharp,8,55,"better after a walk, feels tight then releases. Region: abdomen, quality: sharp.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380871Z
00010,hip,sharp,4,35,"better after a walk, comes and goes. Region: hip, quality: sharp.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380882Z
00011,knee,pressure,3,4,"eases with heat, spikes then fades. Region: knee, quality: pressure.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Movement within a comfortable range reassures the brain and builds confidence.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.380900Z
00012,ankle,shooting,9,14,"better when distracted, feels tight then releases. Region: ankle, quality: shooting.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380916Z
00013,foot,cramping,10,16,"eases with heat, eases after stretching. Region: foot, quality: cramping.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380927Z
00014,wrist,pressure,3,32,"more noticeable in the morning, moves around. Region: wrist, quality: pressure.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380943Z
00015,elbow,aching,10,6,"better when distracted, feels tight then releases. Region: elbow, quality: aching.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,True,synthetic_prt_v2,2025-09-11T20:43:27.380957Z
00016,hand,tingling,9,24,"appears when I worry, eases with rest. Region: hand, quality: tingling.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.380972Z
00017,lower_back,electric,1,14,"after repetitive tasks, eases with rest. Region: lower back, quality: electric.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.380987Z
00018,mid_back,throbbing,7,46,"when I hurry, spikes then fades. Region: mid back, quality: throbbing.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381004Z
00019,upper_back,shooting,6,32,"more noticeable in the morning, comes and goes. Region: upper back, quality: shooting.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381019Z
00020,neck,pulling,6,12,"worse after sitting long, radiates a little. Region: neck, quality: pulling.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",True,False,synthetic_prt_v2,2025-09-11T20:43:27.381033Z
00021,shoulder,throbbing,9,13,"better after a walk, moves around. Region: shoulder, quality: throbbing.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381048Z
00022,head,pressure,8,26,"after studying for hours, feels tight then releases. Region: head, quality: pressure.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381059Z
00023,jaw,tingling,9,22,"appears during heavy lifting, pulses with breath. Region: jaw, quality: tingling.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381068Z
00024,chest,burning,7,1,"better after a walk, radiates a little. Region: chest, quality: burning.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381076Z
00025,abdomen,electric,1,6,"better after a walk, radiates a little. Region: abdomen, quality: electric.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381085Z
00026,hip,sharp,2,22,"on stressful days, moves around. Region: hip, quality: sharp.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381097Z
00027,knee,throbbing,10,34,"worse after screens, comes and goes. Region: knee, quality: throbbing.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,"Movement within a comfortable range reassures the brain and builds confidence. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381111Z
00028,ankle,pulling,3,23,"after studying for hours, radiates a little. Region: ankle, quality: pulling.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381125Z
00029,foot,aching,6,12,"on stressful days, pulses with breath. Region: foot, quality: aching.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381135Z
00030,wrist,tingling,6,17,"flares after poor sleep, moves around. Region: wrist, quality: tingling.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381144Z
00031,elbow,burning,2,51,"appears when I worry, comes and goes. Region: elbow, quality: burning.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381154Z
00032,hand,shooting,10,28,"when I hurry, comes and goes. Region: hand, quality: shooting.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381163Z
00033,lower_back,dull,2,24,"when I hurry, feels tight then releases. Region: lower back, quality: dull.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381173Z
00034,mid_back,stiffness,7,6,"appears during heavy lifting, moves around. Region: mid back, quality: stiffness.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381182Z
00035,upper_back,shooting,3,27,"more noticeable in the morning, spikes then fades. Region: upper back, quality: shooting.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381191Z
00036,neck,burning,3,30,"flares after stress, comes and goes. Region: neck, quality: burning.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381200Z
00037,shoulder,sharp,8,8,"worse in cold weather, radiates a little. Region: shoulder, quality: sharp.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381209Z
00038,head,sharp,1,12,"appears when I worry, comes and goes. Region: head, quality: sharp.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Stress and fear can increase pain. Gentle curiosity and breathing help the system settle. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381221Z
00039,jaw,stiffness,3,19,"better after a walk, spikes then fades. Region: jaw, quality: stiffness.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381230Z
00040,chest,tingling,9,24,"after repetitive tasks, pulses with breath. Region: chest, quality: tingling.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381240Z
00041,abdomen,sharp,1,15,"follows long car rides, spikes then fades. Region: abdomen, quality: sharp.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381250Z
00042,hip,stiffness,5,3,"improves with gentle movement, stays in one spot. Region: hip, quality: stiffness.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381260Z
00043,knee,pressure,1,43,"after repetitive tasks, moves around. Region: knee, quality: pressure.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381269Z
00044,ankle,stiffness,8,21,"after long standing, spikes then fades. Region: ankle, quality: stiffness.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381279Z
00045,foot,stiffness,4,15,"after studying for hours, lingers most of the day. Region: foot, quality: stiffness.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.381288Z
00046,wrist,sharp,10,49,"more noticeable in the morning, radiates a little. Region: wrist, quality: sharp.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381298Z
00047,elbow,stiffness,4,21,"appears when I worry, eases after stretching. Region: elbow, quality: stiffness.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381307Z
00048,hand,cramping,6,24,"after studying for hours, moves around. Region: hand, quality: cramping.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381316Z
00049,lower_back,pressure,10,4,"after long standing, comes and goes. Region: lower back, quality: pressure.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381326Z
00050,mid_back,stabbing,7,25,"flares after stress, moves around. Region: mid back, quality: stabbing.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381335Z
00051,upper_back,stiffness,3,5,"after repetitive tasks, moves around. Region: upper back, quality: stiffness.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381345Z
00052,neck,throbbing,6,2,"worse after sitting long, pulses with breath. Region: neck, quality: throbbing.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381356Z
00053,shoulder,pulling,10,36,"after repetitive tasks, eases after stretching. Region: shoulder, quality: pulling.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381365Z
00054,head,tingling,5,16,"more noticeable in the morning, moves around. Region: head, quality: tingling.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381374Z
00055,jaw,cramping,7,7,"follows long car rides, radiates a little. Region: jaw, quality: cramping.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Movement within a comfortable range reassures the brain and builds confidence. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381383Z
00056,chest,dull,3,6,"worse in cold weather, spikes then fades. Region: chest, quality: dull.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.381393Z
00057,abdomen,dull,8,37,"flares after stress, radiates a little. Region: abdomen, quality: dull.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381402Z
00058,hip,stabbing,1,14,"appears when I worry, radiates a little. Region: hip, quality: stabbing.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,True,synthetic_prt_v2,2025-09-11T20:43:27.381411Z
00059,knee,pressure,2,23,"worse after sitting long, pulses with breath. Region: knee, quality: pressure.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.381420Z
00060,ankle,dull,4,38,"appears during heavy lifting, spikes then fades. Region: ankle, quality: dull.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.381429Z
